"","縣市","地址"
"1","嘉義縣","太保市祥和二路東段6號"
"2","嘉義縣","朴子市光復新路16號"
"3","嘉義縣","太保市祥和二路東段6號1樓"
"4","嘉義縣","朴子市光復新路16號"
"5","嘉義縣","東石鄉東石村43號"
"6","嘉義縣","六腳鄉蒜頭村73-2號"
"7","嘉義縣","布袋鎮龍江里2-2號"
"8","嘉義縣","義竹鄉仁里村435-3號"
"9","嘉義縣","鹿草鄉西井村鹿環西路3號"
"10","嘉義縣","民雄鄉建國路2段261號"
"11","嘉義縣","民雄鄉建國路2段261號"
"12","嘉義縣","民雄鄉民族路21號"
"13","嘉義縣","大林鎮平林里中正路158號"
"14","嘉義縣","溪口鄉中正路142號"
"15","嘉義縣","新港鄉公園路28號"
"16","嘉義縣","水上鄉三鎮村三鎮路119號"
"17","嘉義縣","太保市太保里22號"
"18","嘉義縣","中埔鄉和興村和興路100號"
"19","嘉義縣","中埔鄉和興村和興路100號"
"20","嘉義縣","中埔鄉中正路68號"
"21","嘉義縣","番路鄉下坑村菜公店21號"
"22","嘉義縣","大埔鄉大埔村133號"
"23","嘉義縣","竹崎鄉竹崎村舊車站79號"
"24","嘉義縣","梅山鄉梅北村華山路20號"
"25","嘉義縣","阿里山鄉中山村63號"
"26","嘉義縣","竹崎鄉中和村奮起湖215-1號"
